Date,8725.JP,^TPX,8766.JP,8766.JP,8750.JP,8795.JP
2024/02/14,6601,2574.55,4198,8151,3171,2358.5
2024/02/13,6616,2612.03,4277,8229,3194,2440.5
2024/02/09,5970,2557.88,3853,7748,3102,2329
2024/02/08,6045,2562.63,3898,7841,3123,2344
2024/02/07,5991,2549.95,3878,7695,3065,2334.5
2024/02/06,5980,2539.25,3865,7664,3058,2357.5
2024/02/05,6083,2556.71,3863,7692,3122,2387.5
2024/02/02,6030,2539.68,3796,7615,3050,2323
2024/02/01,6068,2534.04,3884,7650,3144,2375
2024/01/31,6148,2551.1,3930,7691,3261,2465
2024/01/30,6103,2526.93,3871,7610,3203,2422
2024/01/29,6050,2529.48,3800,7602,3227,2416
2024/01/26,5953,2497.65,3733,7491,3148,2356.5
2024/01/25,6025,2531.92,3820,7530,3181,2382
2024/01/24,6030,2529.22,3848,7604,3229,2392.5
2024/01/23,6031,2542.07,3862,7707,3132,2352
2024/01/22,6030,2544.92,3831,7697,3158,2422
2024/01/19,5867,2510.03,3733,7575,3073,2390.5
2024/01/18,5852,2492.09,3713,7474,3088,2414
2024/01/17,5954,2496.38,3784,7528,3120,2415.5
2024/01/16,5855,2503.98,3765,7403,3117,2379.5
2024/01/15,5900,2524.6,3794,7454,3146,2404
2024/01/12,5744,2494.23,3716,7292,3101,2354
2024/01/11,5803,2482.87,3690,7303,3114,2361
2024/01/10,5681,2444.48,3592,7215,3065,2319.5
2024/01/09,5699,2413.09,3582,7135,3044,2318
2024/01/05,5700,2393.54,3555,7080,3107,2324
2024/01/04,5593,2378.79,3509,6995,3048,2283.5
2023/12/29,5546,2366.39,3529,6896,2992,2240.5
2023/12/28,5452,2362.02,3514,6823,2976.5,2240
2023/12/27,5389,2365.4,3483,6755,2945.5,2201
2023/12/26,5366,2338.86,3463,6734,2943.5,2187
2023/12/25,5379,2337.4,3470,6741,2951,2210.5
2023/12/22,5335,2336.43,3455,6734,2965.5,2214.5
2023/12/21,5339,2325.98,3450,6710,2941.5,2174.5
2023/12/20,5440,2349.38,3521,6831,2939.5,2180
2023/12/19,5378,2333.81,3486,6759,2909.5,2178
2023/12/18,5281,2316.86,3393,6668,2890,2191.5
2023/12/15,5381,2332.28,3492,6830,2962.5,2211
2023/12/14,5470,2321.35,3597,7014,2989,2228
2023/12/13,5638,2354.92,3735,7172,3130,2327
2023/12/12,5647,2353.16,3744,7286,3092,2347
2023/12/11,5644,2358.55,3766,7246,3084,2323
2023/12/08,5605,2324.47,3718,7102,3116,2299
2023/12/07,5776,2359.91,3783,7253,3263,2335
2023/12/06,5713,2387.2,3745,6900,3258,2297
2023/12/05,5580,2342.69,3667,6717,3206,2219.5
2023/12/04,5593,2362.65,3655,6766,3205,2177.5
2023/12/01,5582,2382.52,3670,6835,3151,2210
2023/11/30,5533,2374.93,3648,6757,3081,2186.5
2023/11/29,5497,2364.5,3606,6687,3076,2199
2023/11/28,5495,2376.71,3677,6719,3148,2234
2023/11/27,5492,2381.76,3715,6768,3190,2283.5
2023/11/24,5497,2390.94,3735,6783,3152,2295.5
2023/11/22,5451,2378.19,3670,6615,3113,2277
2023/11/21,5417,2367.79,3631,6559,3075,2293
2023/11/20,5383,2372.6,3697,6507,3042,2309.5
2023/11/17,5600,2391.05,3500,6439,3071,2332
2023/11/16,5578,2368.62,3454,6415,3062,2357
2023/11/15,5634,2373.22,3479,6466,3039,2412
2023/11/14,5717,2345.29,3499,6521,3117,2630.5
2023/11/13,5666,2336.62,3488,6506,3077,2618
2023/11/10,5582,2336.72,3419,6492,3054,2598.5
2023/11/09,5575,2335.12,3417,6467,2984,2484
2023/11/08,5438,2305.95,3353,6354,2981,2459.5
2023/11/07,5584,2332.91,3414,6527,3139,2627.5
2023/11/06,5727,2360.46,3494,6670,3192,2716
2023/11/02,5653,2322.39,3405,6597,3234,2724
2023/11/01,5624,2310.68,3420,6596,3268,2709
2023/10/31,5493,2253.72,3343,6507,3176,2672.5
2023/10/30,5382,2231.24,3282,6350,3061,2552
2023/10/27,5475,2254.65,3351,6431,3121,2577.5
2023/10/26,5421,2224.25,3336,6379,3057,2497.5
2023/10/25,5443,2254.4,3326,6375,3070,2498
2023/10/24,5387,2240.73,3293,6315,3064,2505
2023/10/23,5390,2238.81,3307,6315,3090,2543.5
2023/10/20,5427,2255.65,3353,6370,3089,2543.5
2023/10/19,5511,2264.16,3390,6425,3143,2566
2023/10/18,5581,2295.34,3443,6505,3151,2617.5
2023/10/17,5537,2292.08,3420,6462,3129,2553.5
2023/10/16,5487,2273.54,3373,6366,3126,2528
2023/10/13,5534,2308.75,3426,6365,3158,2561
2023/10/12,5706,2342.49,3495,6427,3203,2624.5
2023/10/11,5585,2307.84,3438,6402,3173,2593.5
2023/10/10,5590,2312.19,3442,6395,3164,2595
2023/10/06,5442,2264.08,3349,6215,3101,2510
2023/10/05,5418,2263.76,3362,6267,3082,2491.5
2023/10/04,5306,2218.89,3272,6146,3047,2438
2023/10/03,5329,2275.47,3306,6216,3090,2470
2023/10/02,5459,2314.44,3392,6347,3125,2481.5
2023/09/29,5495,2323.39,3465,6433,3097,2468
2023/09/28,5668,2345.51,3544,6680,3100,2553.5
2023/09/27,5809,2379.53,3645,6904,3063,2587.5
2023/09/26,5799,2371.94,3657,6908,3032,2603
2023/09/25,5733,2385.5,3625,6877,3012,2513
2023/09/22,5784,2376.27,3647,6838,3099,2534.5
2023/09/21,5780,2383.41,3649,6860,3053,2507
2023/09/20,5757,2406,3632,6838,3098,2528.5
2023/09/19,5803,2430.3,3585,6886,3180,2594.5
2023/09/15,5696,2428.38,3513,6602,3156,2559.5
2023/09/14,5694,2405.57,3543,6574,3158,2548.5
2023/09/13,5621,2378.64,3491,6587,3070,2497
2023/09/12,5555,2379.91,3421,6549,3027,2482
2023/09/11,5564,2360.48,3419,6634,3010,2481
2023/09/08,5464,2359.02,3376,6497,2893.5,2402
2023/09/07,5544,2383.38,3383,6562,2956.5,2467.5
2023/09/06,5526,2392.53,3340,6531,2923,2414
2023/09/05,5401,2377.85,3304,6439,2847.5,2367
2023/09/04,5405,2373.73,3308,6488,2820,2384
2023/09/01,5330,2349.75,3263,6451,2733,2342.5
2023/08/31,5240,2332,3227,6347,2711.5,2313.5
2023/08/30,5212,2313.38,3212,6251,2693.5,2342.5
2023/08/29,5197,2303.41,3226,6243,2666.5,2328.5
2023/08/28,5221,2299.81,3218,6298,2657.5,2330.5
2023/08/25,5137,2266.4,3139,6285,2645,2295
2023/08/24,5200,2286.59,3167,6315,2641.5,2319.5
2023/08/23,5177,2277.05,3149,6270,2676.5,2313.5
2023/08/22,5172,2265.71,3121,6275,2636.5,2265
2023/08/21,5100,2241.49,3101,6158,2599.5,2230.5
2023/08/18,5113,2237.29,3146,6144,2596.5,2225.5
2023/08/17,5162,2253.06,3154,6178,2592,2220.5
2023/08/16,5069,2260.84,3102,6140,2625.5,2206
2023/08/15,5136,2290.31,3106,6195,2706.5,2239
2023/08/14,5101,2280.89,3080,6175,2690.5,2215.5
2023/08/10,5202,2303.51,3109,6228,2746.5,2270
2023/08/09,5127,2282.57,3088,6016,2692.5,2208.5
2023/08/08,5096,2291.73,3078,6004,2717,2222
2023/08/07,5058,2283.93,3115,5924,2774.5,2255.5
2023/08/04,5020,2274.63,3060,5884,2744.5,2261.5
2023/08/03,4950,2268.35,2970,5797,2724.5,2223.5
2023/08/02,5048,2301.76,3060,5941,2773,2225
2023/08/01,5304,2337.36,3250,6258,2878,2318
2023/07/31,5292,2322.56,3259,6291,2905.5,2311
2023/07/28,5245,2290.61,3206,6282,2888,2342
2023/07/27,5182,2295.14,3219,6267,2694.5,2179.5
2023/07/26,5101,2283.09,3160,6187,2663.5,2136.5
2023/07/25,5118,2285.38,3180,6224,2662.5,2121.5
2023/07/24,5143,2281.18,3217,6342,2675,2110.5
2023/07/21,5125,2262.2,3199,6448,2704,2109.5
2023/07/20,5099,2260.9,3163,6460,2687,2082
2023/07/19,5145,2278.97,3205,6488,2746,2130
2023/07/18,5070,2252.28,3139,6359,2745,2122
2023/07/14,5018,2239.1,3127,6392,2716.5,2115.5
2023/07/13,5072,2242.99,3177,6463,2746,2100
2023/07/12,5099,2221.48,3198,6540,2776,2154.5
2023/07/11,5136,2236.4,3249,6569,2824.5,2167.5
2023/07/10,5220,2243.33,3279,6571,2867.5,2221.5
2023/07/07,5226,2254.9,3284,6556,2859,2242
2023/07/06,5255,2277.08,3331,6583,2854,2222
2023/07/05,5313,2306.03,3346,6643,2919.5,2255.5
2023/07/04,5249,2306.37,3357,6572,2808,2212
2023/07/03,5183,2320.81,3345,6547,2752.5,2127.5
2023/06/30,5096,2288.6,3315,6459,2738,2105.5
2023/06/29,5133,2296.25,3326,6510,2721.5,2121
2023/06/28,5128,2298.6,3339,6528,2744.5,2127
2023/06/27,5118,2253.81,3286,6444,2735,2099.5
2023/06/26,5109,2260.17,3285,6465,2720,2088
2023/06/23,5136,2264.73,3316,6511,2700,2090.5
2023/06/22,5217,2296.5,3365,6578,2709.5,2112.5
2023/06/21,5150,2295.01,3309,6320,2682.5,2116
2023/06/20,5006,2283.85,3226,6167,2611.5,2038
2023/06/19,5260,2290.5,3399,6515,2625,2045
2023/06/16,5184,2300.36,3370,6467,2626,2037
2023/06/15,5223,2293.97,3361,6487,2635,2015
2023/06/14,5243,2294.53,3326,6405,2639.5,2067
2023/06/13,5203,2264.79,3289,6327,2599,2016
2023/06/12,5172,2238.77,3232,6270,2579,2007
2023/06/09,5157,2224.32,3221,6218,2570.5,1987
2023/06/08,5072,2191.5,3183,6137,2499.5,1989.5
2023/06/07,5031,2206.3,3217,6122,2492,1993
2023/06/06,5062,2236.28,3284,6159,2560.5,1990.5
2023/06/05,4921,2219.79,3213,6023,2537,1991.5
2023/06/02,4870,2182.7,3167,5980,2526.5,1996
2023/06/01,4825,2149.29,3089,5805,2449.5,1914
2023/05/31,4798,2130.63,3144,5690,2394.5,1902
2023/05/30,4792,2159.22,3069,5736,2415,1905
2023/05/29,4835,2160.65,3111,5861,2449,1920
2023/05/26,4720,2145.84,3041,5871,2408,1900
2023/05/25,4748,2146.15,3046,5912,2428.5,1917
2023/05/24,4795,2152.4,3055,6049,2495,1976
2023/05/23,4772,2161.49,3031,5987,2496,1930
